sample_id,cab_gate,mix_gate,cab_mean_l1_from_uniform,cab_mean_max_abs_from_uniform,cab_mean_kl_from_uniform,cab_mean_one_minus_entropy,mix_l1_from_uniform,mix_max_abs_from_uniform,mix_kl_from_uniform,mix_one_minus_entropy,cab_head_best_idx,cab_head_best_score
50,0.5239022374153137,1.0,0.029206369072198868,0.009277045726776123,0.0004442130568944045,0.00032045061359137206,0.005416754633188248,0.0016949623823165894,1.4924829997192159e-05,1.076971440183705e-05,2,0.020246872245548615
51,0.5239022374153137,1.0,0.025391913950443268,0.008610978722572327,0.0003418967598441758,0.0002466189293809373,0.00546114519238472,0.0019924789667129517,1.6344733424496216e-05,1.1793958218403455e-05,2,0.01862025694205823
52,0.5239022374153137,1.0,0.024647217243909836,0.008086800575256348,0.000323195405806435,0.00023311757814598044,0.0055638812482357025,0.0019437968730926514,1.6584970360504367e-05,1.1959801955840899e-05,2,0.017985562647308988
53,0.5239022374153137,1.0,0.022941026836633682,0.007971137762069702,0.0002797650060027112,0.00020181151867748603,0.004749178886413574,0.0020877718925476074,1.5390286492442488e-05,1.110174500026928e-05,2,0.01693275357364271
54,0.5239022374153137,1.0,0.0203043632209301,0.00669020414352417,0.00021855812042764007,0.00015765263295322574,0.0038494057953357697,0.0018664300441741943,1.1590208080364871e-05,8.364293150514568e-06,2,0.01507943638876158
55,0.5239022374153137,1.0,0.029963016510009766,0.009299308061599731,0.00046535492274919527,0.00033568261965172264,0.005825657397508621,0.001921728253364563,1.822548928978742e-05,1.3150636798325843e-05,2,0.02071393274375881
56,0.5239022374153137,1.0,0.029705684632062912,0.010069429874420166,0.0004640290482480307,0.00033472247807764255,0.006439208984375,0.00204506516456604,2.115954810656207e-05,1.5278288721554123e-05,2,0.02062079144084375
57,0.5239022374153137,1.0,0.031196974217891693,0.00983572006225586,0.0005076520169432722,0.0003662158754125233,0.006692040711641312,0.002086430788040161,2.3348527742591565e-05,1.6831226722247017e-05,2,0.020816737972794583
58,0.5239022374153137,1.0,0.03011348843574524,0.009232625365257263,0.00047040524581148566,0.00033934055883139136,0.0056450702250003815,0.001980990171432495,1.769383754591879e-05,1.2782032292352197e-05,2,0.02023561071523306
59,0.5239022374153137,1.0,0.030102789402008057,0.00991097092628479,0.00047687909141327684,0.0003439955501428338,0.006983857601881027,0.002085074782371521,2.503793755584535e-05,1.8057328882603585e-05,2,0.020610411764267478
60,0.5239022374153137,1.0,0.029908493161201477,0.009546667337417603,0.0004695854805919302,0.00033873432206171783,0.006368085741996765,0.0018680989742279053,2.0633786335990615e-05,1.4899031772014348e-05,2,0.020699254589681693
61,0.5239022374153137,1.0,0.028043527156114578,0.009222805500030518,0.00041100443050327753,0.0002964956532866825,0.0047983452677726746,0.001691371202468872,1.3006186017704174e-05,9.404331776124986e-06,2,0.02033265602475292
62,0.5239022374153137,1.0,0.02898293361067772,0.009317576885223389,0.0004433224667465213,0.0003197709356934919,0.006177939474582672,0.0017512738704681396,1.9227896821304906e-05,1.3862545114901037e-05,2,0.019373782408293475
63,0.5239022374153137,1.0,0.027019865810871124,0.00864449143409729,0.0003825192400091892,0.0002759367558835546,0.00479261577129364,0.001710444688796997,1.1777443150271855e-05,8.49562941362958e-06,2,0.018307536955517865
64,0.5239022374153137,1.0,0.02513529732823372,0.00786583125591278,0.00033323916160629533,0.00024038496823000632,0.00479213148355484,0.0016714632511138916,1.3011303045994279e-05,9.393121770506774e-06,2,0.01618603393283323
65,0.5239022374153137,1.0,0.022738900035619736,0.006971538066864014,0.0002710176025586049,0.00019550905147330822,0.004090968519449234,0.0017735064029693604,1.0315968603402887e-05,7.430222502213812e-06,2,0.014658809406321659
66,0.5239022374153137,1.0,0.031915828585624695,0.009698987007141113,0.0005264741374759868,0.000379770813646485,0.0066375769674777985,0.002200305461883545,2.3113914887501214e-05,1.66470881598213e-05,2,0.021301520557952057
